start_01,stop_01,start_02,stop_02,start_03,stop_03,start_04,stop_04,start_05,stop_05,start_06,stop_06,start_07,stop_07,start_08,stop_08,start_09,stop_09,start_10,stop_10,start_11,stop_11,start_12,stop_12
117347,318311,462174,749675,897693,1114022,1258064,1501692,1621378,1903935,2050263,2322738,2441949,2696380,2796098,3008755,3142851,3421105,3563223,3871688,3987203,4239364,4339250,4643059
86282,323660,443648,683302,802362,1008952,1141233,1384772,1505115,1734084,1900667,2131510,2268710,2515008,2644415,2884062,3009905,3268926,3397728,3717647,3840326,4081101,4230073,4559307
92641,389193,530733,776670,883360,1099610,1203235,1464294,1601700,1898774,2029151,2262805,2349726,2625418,2717242,2962113,3114739,3432548,3542098,3824564,3948756,4179396,4306973,4685149
12988,268144,351754,621172,729265,1043961,1159044,1406867,1562135,1824971,2005462,2238833,2362122,2585155,2674316,2905394,3031955,3292069,3396912,3660229,3774169,3990307,4076857,4482782
71567,277103,336623,549452,637414,838089,904620,1166447,1248569,1467376,1563437,1771031,1867112,2103801,2163292,2487386,2561956,2852909,2912837,3261100,3344945,3614488,3704926,4136954
66968,315698,372169,600262,689971,916233,979635,1217764,1311289,1562063,1658369,1887754,1990499,2239406,2362823,2605313,2684434,2937592,3009174,3287284,3358090,3570786,3631119,3971809
101031,366170,471775,755627,906727,1149718,1251465,1476095,1579987,1771650,1872541,2098155,2229357,2478056,2582109,2785255,2894374,3083780,3181962,3447102,3555624,3834948,3950015,4283292
79426,282156,384152,681882,811278,1121087,1237274,1479962,1578576,1874747,1953027,2219287,2348915,2631161,2728349,3065322,3176382,3387725,3517201,3706556,3808336,4043043,4114123,4395899
117854,369514,480057,753615,866851,1188144,1273544,1475407,1577822,1810512,1913155,2211288,2285319,2562571,2650710,2947846,3074968,3329775,3444318,3712624,3829639,4061019,4122764,4446552
59802,284570,375024,611598,697072,955951,1034400,1277863,1370732,1582571,1674962,1891049,2016162,2231164,2361120,2587937,2704396,2946463,3044228,3303894,3417196,3679270,3794528,4079845
63354,293535,380393,616805,716101,958142,1047314,1282697,1385071,1645445,1750032,1964949,2111772,2340622,2475592,2696478,2820235,3066555,3189572,3445233,3554653,3796768,3923213,4273678
64924,311126,400827,659788,762539,997353,1080887,1317370,1422248,1676127,1793487,1973122,2130865,2330454,2472077,2689474,2814416,3032269,3153188,3384122,3507413,3761749,3878114,4198626
